N,P,K,temperature,humidity,ph,rainfall,label
41.9,44.6,47.6,17.57,66.89,6.91,61.39,Barley
94.9,69.0,75.6,21.29,70.25,6.54,83.82,Maize
94.7,59.3,53.1,26.12,84.51,6.74,225.88,Rice
59.8,64.0,58.2,18.44,70.99,6.41,53.55,Onion
56.4,32.8,23.6,28.88,46.79,6.56,48.26,Millet
72.9,42.7,44.2,19.88,58.49,6.8,68.68,Wheat
65.3,61.4,60.4,21.17,89.61,5.16,65.05,Potato
105.7,71.2,74.6,24.12,62.77,6.16,77.01,Maize
120.1,74.4,139.5,17.49,84.94,6.3,77.85,Cabbage
61.5,54.6,64.6,25.13,78.42,6.45,46.43,Tomato
121.0,80.0,126.1,15.75,86.09,6.23,84.66,Cabbage
29.4,23.2,28.8,26.8,59.45,6.21,104.1,Mango
68.4,70.9,69.7,20.9,67.4,6.42,54.1,Onion
90.4,51.2,81.9,19.3,73.38,6.37,112.03,Maize
54.3,61.2,50.6,15.14,65.71,6.66,56.31,Mustard
110.6,68.3,99.3,26.48,83.24,6.92,107.37,Sugarcane
24.1,42.3,27.4,24.87,67.88,6.62,54.04,Soybean
102.5,68.2,51.9,31.68,88.55,6.07,223.61,Rice
127.0,86.0,121.4,16.91,85.01,6.32,73.84,Cabbage
32.2,21.0,27.8,20.37,55.2,5.86,166.16,Apple
57.2,31.2,32.3,30.61,46.79,6.2,63.87,Millet
58.6,38.6,46.5,20.24,57.95,6.79,88.24,Wheat
49.3,50.0,41.4,13.67,61.22,6.88,49.87,Barley
101.4,60.3,55.7,32.86,89.08,5.74,229.66,Rice
,84.6,119.7,17.06,84.27,5.97,65.54,Cauliflower
64.0,64.2,58.8,15.93,73.1,6.66,42.28,Garlic
58.1,47.5,52.4,23.79,58.65,6.87,79.75,Wheat
101.7,62.3,57.3,26.28,86.42,12.175975930107938,214.48,Rice
63.1,71.8,64.8,18.49,88.9,5.06,55.92,Potato
95.4,61.4,85.1,20.08,71.0,6.59,81.54,Maize
28.4,42.8,37.3,24.59,72.45,6.5,48.84,Soybean
66.0,65.0,65.9,18.22,86.18,5.1,59.35,Potato
71.9,43.5,32.0,19.4,59.79,6.5,70.71,Wheat
73.6,63.7,73.3,29.67,72.3,6.45,113.1,Chili
29.0,50.2,29.0,25.72,106.46651085310752,6.49,53.74,Soybean
65.2,61.7,58.3,18.26,71.05,6.67,44.58,Garlic
80.0,56.5,82.8,27.07,70.54,6.38,77.25,Chili
126.4,89.2,116.6,18.62,86.95,5.8,78.15,Cauliflower
23.4,34.0,29.3,25.41,66.25,6.32,56.87,Soybean
52.3,53.8,48.9,15.4,68.23,6.45,54.11,Barley
53.5,56.9,44.8,18.63,66.83,6.31,56.86,Mustard
95.5,61.5,68.4,21.68,66.36,6.43,93.29,Maize
59.6,56.9,67.9,23.72,75.07,6.36,70.2,Tomato
100.9,57.6,61.2,24.13,85.07,6.55,208.58,Rice
63.5,60.7,73.6,15.73,71.48,6.59,46.32,Garlic
20.3,15.2,32.6,23.02,63.01,6.05,139.72,Apple
127.1,105.9,445.1,27.94,83.5,5.71,145.59,Banana
67.8,73.1,69.1,22.68,69.62,6.4,50.58,Onion
34.2,19.4,28.0,20.22,58.37,5.66,130.33,Apple
